"Sample_name","Locus","sample_id","taxonomy.present","nHashes","nReads","totalHashes","totalReads","pHashes","pReads"
1,"Leray","SS18-059-a",0,8,47160,11,47308,0.727272727272727,0.996871565062991
1,"Leray","SS18-059-a",1,3,148,11,47308,0.272727272727273,0.00312843493700854
2,"Leray","SS18-059-b",0,3,56191,5,56207,0.6,0.999715337947231
2,"Leray","SS18-059-b",1,2,16,5,56207,0.4,0.000284662052769228
3,"Leray","SS18-059-c",0,6,42755,7,42768,0.857142857142857,0.999696034418257
3,"Leray","SS18-059-c",1,1,13,7,42768,0.142857142857143,0.00030396558174336
4,"Leray","SS19-064-a",0,2,2918,6,2951,0.333333333333333,0.98881735005083
4,"Leray","SS19-064-a",1,4,33,6,2951,0.666666666666667,0.0111826499491698
5,"Leray","SS19-064-b",0,8,21529,9,21558,0.888888888888889,0.99865479172465
5,"Leray","SS19-064-b",1,1,29,9,21558,0.111111111111111,0.00134520827535022
6,"Leray","SS19-064-c",0,13,39108,16,39239,0.8125,0.996661484747318
6,"Leray","SS19-064-c",1,3,131,16,39239,0.1875,0.00333851525268228
7,"Leray","SS19-065-a",0,8,32414,10,32489,0.8,0.997691526362769
7,"Leray","SS19-065-a",1,2,75,10,32489,0.2,0.00230847363723106
8,"Leray","SS19-065-b",0,3,7039,7,7100,0.428571428571429,0.991408450704225
8,"Leray","SS19-065-b",1,4,61,7,7100,0.571428571428571,0.00859154929577465
10,"Leray","SS20-333-a",0,8,80046,14,80130,0.571428571428571,0.998951703481842
10,"Leray","SS20-333-a",1,6,84,14,80130,0.428571428571429,0.00104829651815799
11,"Leray","SS20-333-b",0,3,52855,8,52920,0.375,0.998771730914588
11,"Leray","SS20-333-b",1,5,65,8,52920,0.625,0.00122826908541194
12,"Leray","SS20-333-c",0,5,55310,7,55341,0.714285714285714,0.999439836649139
12,"Leray","SS20-333-c",1,2,31,7,55341,0.285714285714286,0.000560163350861025
13,"Leray","SS19-087-a",0,15,57664,37,59219,0.405405405405405,0.973741535655786
13,"Leray","SS19-087-a",1,22,1555,37,59219,0.594594594594595,0.0262584643442139
14,"Leray","SS19-087-b",0,17,46323,37,47029,0.459459459459459,0.984987986136214
14,"Leray","SS19-087-b",1,20,706,37,47029,0.540540540540541,0.0150120138637862
15,"Leray","SS19-087-c",0,19,47735,52,49215,0.365384615384615,0.969927867520065
15,"Leray","SS19-087-c",1,33,1480,52,49215,0.634615384615385,0.030072132479935
16,"Leray","SS20-332-a",0,13,66539,18,66602,0.722222222222222,0.999054082459986
16,"Leray","SS20-332-a",1,5,63,18,66602,0.277777777777778,0.000945917540013813
17,"Leray","SS20-332-b",0,8,76917,15,77231,0.533333333333333,0.995934275096788
17,"Leray","SS20-332-b",1,7,314,15,77231,0.466666666666667,0.00406572490321244
18,"Leray","SS20-332-c",0,6,74738,10,74781,0.6,0.999424987630548
18,"Leray","SS20-332-c",1,4,43,10,74781,0.4,0.000575012369452134
19,"Leray","SS20-350-a",0,2,8513,5,8837,0.4,0.963335973746747
19,"Leray","SS20-350-a",1,3,324,5,8837,0.6,0.0366640262532534
20,"Leray","SS20-350-b",0,3,27025,9,28177,0.333333333333333,0.959115590730028
20,"Leray","SS20-350-b",1,6,1152,9,28177,0.666666666666667,0.040884409269972
21,"Leray","SS20-350-b",0,3,27025,9,28177,0.333333333333333,0.959115590730028
21,"Leray","SS20-350-b",1,6,1152,9,28177,0.666666666666667,0.040884409269972
22,"Leray","SS20-350-c",0,12,76424,22,76666,0.545454545454545,0.996843450812616
22,"Leray","SS20-350-c",1,10,242,22,76666,0.454545454545455,0.00315654918738424
23,"Leray","SS18-066V-a",0,7,58944,9,59285,0.777777777777778,0.994248123471367
23,"Leray","SS18-066V-a",1,2,341,9,59285,0.222222222222222,0.00575187652863287
24,"Leray","SS18-066V-b",0,5,26613,5,26613,1,1
25,"Leray","SS19-059-a",0,6,49414,11,49496,0.545454545454545,0.998343300468725
25,"Leray","SS19-059-a",1,5,82,11,49496,0.454545454545455,0.00165669953127525
26,"Leray","SS19-059-b",0,6,22499,10,22553,0.6,0.997605640047887
26,"Leray","SS19-059-b",1,4,54,10,22553,0.4,0.0023943599521128
27,"Leray","SS19-059-c",0,6,42330,11,42391,0.545454545454545,0.998561015309854
27,"Leray","SS19-059-c",1,5,61,11,42391,0.454545454545455,0.00143898469014649
28,"Leray","SS20-184-a",0,1,38420,1,38420,1,1
29,"Leray","SS20-184-b",0,2,34504,2,34504,1,1
30,"Leray","SS20-184-c",0,1,29731,1,29731,1,1
31,"Leray","SS20-188-a",0,1,20337,3,20367,0.333333333333333,0.998527029017528
31,"Leray","SS20-188-a",1,2,30,3,20367,0.666666666666667,0.00147297098247165
32,"Leray","SS20-188-b",0,2,20845,4,20856,0.5,0.999472573839662
32,"Leray","SS20-188-b",1,2,11,4,20856,0.5,0.000527426160337553
33,"Leray","SS20-188-c",0,1,32765,3,32777,0.333333333333333,0.99963388961772
33,"Leray","SS20-188-c",1,2,12,3,32777,0.666666666666667,0.000366110382280257
34,"Leray","SS20-191-a",0,7,33106,8,33145,0.875,0.998823351938452
34,"Leray","SS20-191-a",1,1,39,8,33145,0.125,0.00117664806154774
35,"Leray","SS20-191-b",0,6,37353,8,37382,0.75,0.999224225563105
35,"Leray","SS20-191-b",1,2,29,8,37382,0.25,0.000775774436894762
36,"Leray","SS20-191-c",0,4,32932,6,32938,0.666666666666667,0.999817839577388
36,"Leray","SS20-191-c",1,2,6,6,32938,0.333333333333333,0.00018216042261218
37,"Leray","SS20-221-a",0,5,31901,8,31920,0.625,0.999404761904762
37,"Leray","SS20-221-a",1,3,19,8,31920,0.375,0.000595238095238095
38,"Leray","SS20-221-b",0,4,20058,6,20068,0.666666666666667,0.999501694239585
38,"Leray","SS20-221-b",1,2,10,6,20068,0.333333333333333,0.00049830576041459
39,"Leray","SS20-221-c",0,4,33478,5,33486,0.8,0.999761094188616
39,"Leray","SS20-221-c",1,1,8,5,33486,0.2,0.000238905811383862
40,"Leray","SS20-233-a",0,1,5967,1,5967,1,1
41,"Leray","SS20-233-b",0,1,3428,1,3428,1,1
42,"Leray","SS20-233-c",0,1,4540,1,4540,1,1
43,"Leray","SS20-331-a",0,5,27493,6,27498,0.833333333333333,0.99981816859408
43,"Leray","SS20-331-a",1,1,5,6,27498,0.166666666666667,0.000181831405920431
44,"Leray","SS20-331-b",0,5,24687,7,24700,0.714285714285714,0.999473684210526
44,"Leray","SS20-331-b",1,2,13,7,24700,0.285714285714286,0.000526315789473684
45,"Leray","SS20-331-c",0,2,16488,4,16500,0.5,0.999272727272727
45,"Leray","SS20-331-c",1,2,12,4,16500,0.5,0.000727272727272727
46,"Leray","SS20-349-a",0,5,37017,8,37041,0.625,0.999352069328582
46,"Leray","SS20-349-a",1,3,24,8,37041,0.375,0.000647930671418158
47,"Leray","SS20-349-b",0,2,36958,5,36974,0.4,0.999567263482447
47,"Leray","SS20-349-b",1,3,16,5,36974,0.6,0.000432736517552875
48,"Leray","SS20-349-c",0,7,49724,10,49737,0.7,0.999738625168386
48,"Leray","SS20-349-c",1,3,13,10,49737,0.3,0.000261374831614291
49,"Leray","SS20-216-a",0,2,8408,7,8468,0.285714285714286,0.992914501653283
49,"Leray","SS20-216-a",1,5,60,7,8468,0.714285714285714,0.00708549834671705
50,"Leray","SS20-216-b",0,3,7398,4,7434,0.75,0.995157384987893
50,"Leray","SS20-216-b",1,1,36,4,7434,0.25,0.00484261501210654
51,"Leray","SS20-216-c",0,6,12150,11,12389,0.545454545454545,0.980708693195577
51,"Leray","SS20-216-c",1,5,239,11,12389,0.454545454545455,0.0192913068044233
52,"Leray","SS20-330k-a",0,39,49471,80,51260,0.4875,0.965099492781896
52,"Leray","SS20-330k-a",1,41,1789,80,51260,0.5125,0.0349005072181038
53,"Leray","SS20-330k-b",0,28,35048,52,36721,0.538461538461538,0.954440238555595
53,"Leray","SS20-330k-b",1,24,1673,52,36721,0.461538461538462,0.0455597614444051
54,"Leray","SS20-330k-c",0,28,33007,58,34194,0.482758620689655,0.965286307539334
54,"Leray","SS20-330k-c",1,30,1187,58,34194,0.517241379310345,0.0347136924606656
55,"Leray","SS20-341-a",1,1,4,1,4,1,1
56,"Leray","SS20-341-b",1,2,41,2,41,1,1
58,"Leray","SS18-058V-a",0,9,22137,11,22180,0.818181818181818,0.998061316501353
58,"Leray","SS18-058V-a",1,2,43,11,22180,0.181818181818182,0.00193868349864743
59,"Leray","SS18-058V-b",0,8,25869,10,25918,0.8,0.998109422023304
59,"Leray","SS18-058V-b",1,2,49,10,25918,0.2,0.00189057797669573
60,"Leray","SS18-058V-c",0,9,37415,12,37463,0.75,0.998718735819342
60,"Leray","SS18-058V-c",1,3,48,12,37463,0.25,0.00128126418065825
61,"Leray","SS18-062V-a",0,6,5242,8,5257,0.75,0.997146661594065
61,"Leray","SS18-062V-a",1,2,15,8,5257,0.25,0.00285333840593494
62,"Leray","SS18-062V-b",0,10,12865,12,12909,0.833333333333333,0.996591525292432
62,"Leray","SS18-062V-b",1,2,44,12,12909,0.166666666666667,0.00340847470756836
63,"Leray","SS18-062V-c",0,11,21691,13,21737,0.846153846153846,0.997883792611676
63,"Leray","SS18-062V-c",1,2,46,13,21737,0.153846153846154,0.00211620738832406
64,"Leray","SS18-067V-a",0,5,9113,5,9113,1,1
65,"Leray","SS18-067V-b",0,2,1622,2,1622,1,1
66,"Leray","SS18-067V-c",0,3,4344,3,4344,1,1
67,"Leray","SS18-068V-a",0,4,30020,4,30020,1,1
68,"Leray","SS18-068V-b",0,4,13723,4,13723,1,1
69,"Leray","SS18-068V-c",0,1,7372,1,7372,1,1
70,"Leray","SS18-070V-a",0,8,7979,8,7979,1,1
71,"Leray","SS18-070V-b",0,9,16035,10,16047,0.9,0.999252196672275
71,"Leray","SS18-070V-b",1,1,12,10,16047,0.1,0.000747803327724808
72,"Leray","SS18-070V-c",0,9,26030,10,26051,0.9,0.999193888910215
72,"Leray","SS18-070V-c",1,1,21,10,26051,0.1,0.000806111089785421
73,"Leray","SS20-190-a",0,5,32869,6,32876,0.833333333333333,0.999787078720039
73,"Leray","SS20-190-a",1,1,7,6,32876,0.166666666666667,0.000212921279961066
74,"Leray","SS20-190-b",0,4,47858,6,47888,0.666666666666667,0.99937353825593
74,"Leray","SS20-190-b",1,2,30,6,47888,0.333333333333333,0.000626461744069496
75,"Leray","SS20-190-c",0,4,40074,7,40093,0.571428571428571,0.999526101813284
75,"Leray","SS20-190-c",1,3,19,7,40093,0.428571428571429,0.000473898186715886
76,"Leray","SS20-234-a",0,8,29311,10,29478,0.8,0.994334758124703
76,"Leray","SS20-234-a",1,2,167,10,29478,0.2,0.00566524187529683
77,"Leray","SS20-234-b",0,8,43003,9,43078,0.888888888888889,0.998258972097126
77,"Leray","SS20-234-b",1,1,75,9,43078,0.111111111111111,0.00174102790287386
78,"Leray","SS20-234-c",0,6,58466,9,58803,0.666666666666667,0.994268999880958
78,"Leray","SS20-234-c",1,3,337,9,58803,0.333333333333333,0.00573100011904155
79,"Leray","SS20-334-a",0,11,46284,18,46688,0.611111111111111,0.991346812885538
79,"Leray","SS20-334-a",1,7,404,18,46688,0.388888888888889,0.00865318711446196
80,"Leray","SS20-334-b",0,8,27779,10,27839,0.8,0.997844750170624
80,"Leray","SS20-334-b",1,2,60,10,27839,0.2,0.00215524982937606
81,"Leray","SS20-334-c",0,7,28301,12,28615,0.583333333333333,0.989026734230299
81,"Leray","SS20-334-c",1,5,314,12,28615,0.416666666666667,0.0109732657697012
82,"Leray","SS18-071V-a",0,12,27482,14,27537,0.857142857142857,0.99800268729346
82,"Leray","SS18-071V-a",1,2,55,14,27537,0.142857142857143,0.00199731270654029
83,"Leray","SS18-071V-b",0,11,21514,13,21578,0.846153846153846,0.997034016127537
83,"Leray","SS18-071V-b",1,2,64,13,21578,0.153846153846154,0.00296598387246269
84,"Leray","SS18-071V-c",0,16,39326,18,39443,0.888888888888889,0.997033694191618
84,"Leray","SS18-071V-c",1,2,117,18,39443,0.111111111111111,0.00296630580838172
89,"Leray","SS18-066V-c",0,3,32292,5,34501,0.6,0.935972870351584
89,"Leray","SS18-066V-c",1,2,2209,5,34501,0.4,0.064027129648416
91,"Leray","SS19-065-c",0,5,23101,14,24704,0.357142857142857,0.935111722797927
91,"Leray","SS19-065-c",1,9,1603,14,24704,0.642857142857143,0.0648882772020725
95,"Leray","PositiveControl",0,7,10481,7,10481,1,1
96,"Leray","NegativeControl",1,1,7,1,7,1,1
